expediente,categoria,numero,fragmento
SUP-JDC-296/2024,rp,5,"pugnado es sólo el conducto para llegar a esa situación. 5.2 . Caso concreto (20) El veintisiete de enero, u na persona militante del PAN pro movió un recurso intrapartidario en contra de la invitación para designar a las candidaturas a diputaciones federales por el principio de representación proporcional, en las posiciones 1 a 3 de las cinco circunscripciones, que postulará y registrará ese partido en el proceso electoral federal 2023-2024. (21) Posteriormente , el once de febrero, la parte actora presentó un medio de impugnación ante el Tribunal local para denunciar la presunta"
SUP-JDC-414/2024,rp,1,"que participarían en la insaculación de candidaturas, en las que afirma aparece para participar mediante las acciones afirmativas de juventud [6] e indígena [7] . 4. Proceso de insaculación . El veintiuno de febrero, se llevó a cabo la insaculación de candidaturas en la lista de representación proporcional para el Senado de la República y para la Cámara de Diputaciones. Al respecto, la persona promovente aduce que durante el procedimiento fue eliminada su participación. 5. Publicación de listas. El veintidós de febrero siguiente se publicaron los resultados del proceso de insacula"
SUP-JDC-414/2024,rp,2,"competente para conocer y resolver el medio de impugnación identificado al rubro, ya que se trata de un juicio de la ciudadanía promovido para controvertir la resolución partidista dictada en relación con la selección de candidaturas a diputaciones federales por el principio de representación proporcional [9] . SEGUNDA. Requisitos de procedencia . El juicio de la ciudadanía satisface los requisitos en cuestión [10] , de conformidad con lo siguiente: 2.1. Oportunidad. El juicio de la ciudadanía se promovió dentro del plazo legal de cuatro días, de acuerdo con lo siguiente. La reso"
SUP-JDC-414/2024,rp,3,"eclame. En el caso, la parte actora refiere que se transgrede su derecho de acceso a la justicia al negársele el interés jurídico para controvertir las decisiones de Morena en el procedimiento de selección de candidaturas a diputaciones federales y senadurías por el principio de representación proporcional. Con base en lo anterior, es evidente que la actora tiene interés jurídico para presentar el juicio de la ciudadanía que se resuelve. 2.4. Definitividad. Esta Sala Superior no advierte algún otro medio de impugnación que deba agotarse antes de acudir a esta instancia, con lo cua"
SUP-JDC-414/2024,rp,4,"or satisfecho el requisito. TERCER A . Caso concreto. 3.1. Contexto de la controversia . La parte actora promovió dos juicio s de la ciudadanía per saltum en contra de la emisión de las listas publicadas por Morena que cont ienen las “Fórmulas preseleccionadas para las listas de representación proporcional para el Congreso de la Unión”. Al resolver los expedientes SUP-JDC-25 4 /2024 y acumulado, esta Sala Superior determinó que los medios de impugnación eran improcedentes al no haberse agotado el principio de definitividad , por lo que reencauzó las demandas a la Comisión Nacional"
SUP-JDC-414/2024,rp,5,"ido de acumular las quejas y declarar su improcedencia , al estimar que la parte promovente no cuenta con interés para controvertir las referidas listas , porque no demostr ó que participó en el proceso de selección de candidaturas para diputaciones federales por el principio de representación proporcional. 3.2. Consideraciones del órgano responsable. En el acuerdo impugnado, el órgano responsable consideró actualizado el supuesto previsto en el artículo 22, inciso a), del Reglamento [11] , el cual señala q ue cualquier recurso de queja se declarará improcedente cuando la o el que"
SUP-JDC-559/2024,rp,1,"Morena Sala Superior: Sala Superior del Tribunal Electoral del Poder Judicial de la Federación 1. ASPECTOS GENERALES (1) El presente asunto tiene su origen en el medio de impugnación presentado por la actora en su calidad de aspirante a una diputación federal por el principio de representación proporcional, en contra de las l istas de representación proporcional para el Congreso de la Unión determinadas por la Comisión Nacional de Elecciones de Morena, publicadas en la página oficial de Morena. (2) Dicha impugnación se presentó junto con la solicitud de que fuera conocida directam"
SUP-JDC-559/2024,rp,2,"l del Poder Judicial de la Federación 1. ASPECTOS GENERALES (1) El presente asunto tiene su origen en el medio de impugnación presentado por la actora en su calidad de aspirante a una diputación federal por el principio de representación proporcional, en contra de las l istas de representación proporcional para el Congreso de la Unión determinadas por la Comisión Nacional de Elecciones de Morena, publicadas en la página oficial de Morena. (2) Dicha impugnación se presentó junto con la solicitud de que fuera conocida directamente por esta Sala Superior . En atención a lo anterior,"
SUP-JDC-559/2024,rp,3,"ndidaturas a Diputaciones federales en el proceso electoral federal 2023-2024. (5) 2.2. Registro y proceso. La parte actora señala que oportunamente se registró ante la Comisión Nacional de Elecciones como aspirante a ocupar una candidatura a diputada federal por el principio de representación proporcional, en específico, de la C uarta C ircunscripción . Asimismo, señala que se registró para el proceso de insaculación para diputaciones por el principio de representación proporcional por discapacidad, al tener una parálisis cerebral infantil a nivel motriz. (6) 2.3 Lista de candida"
SUP-JDC-559/2024,rp,4,"cional de Elecciones como aspirante a ocupar una candidatura a diputada federal por el principio de representación proporcional, en específico, de la C uarta C ircunscripción . Asimismo, señala que se registró para el proceso de insaculación para diputaciones por el principio de representación proporcional por discapacidad, al tener una parálisis cerebral infantil a nivel motriz. (6) 2.3 Lista de candidaturas. Según la parte actora, las l istas de representación proporcional para el Congreso de la Unión determinadas por la Comisión Nacional de Elecciones de Morena se aprobaron en"
SUP-JDC-559/2024,rp,5,"ón . Asimismo, señala que se registró para el proceso de insaculación para diputaciones por el principio de representación proporcional por discapacidad, al tener una parálisis cerebral infantil a nivel motriz. (6) 2.3 Lista de candidaturas. Según la parte actora, las l istas de representación proporcional para el Congreso de la Unión determinadas por la Comisión Nacional de Elecciones de Morena se aprobaron en la asamblea celebrada el veinte de febrero [2] y se publicaron en la página oficial de Morena. (7) 2.4 Primer juicio de la ciudadanía (SUP-JDC-275/2024) . El veintitrés de"
SUP-JDC-606/2024,rp,1,"que participarían en la insaculación de candidaturas, en las que afirma aparece para participar mediante las acciones afirmativas de juventud [5] e indígena [6] . 4. Proceso de insaculación . El veintiuno de febrero, se llevó a cabo la insaculación de candidaturas en la lista de representación proporcional para el Senado de la República y para la Cámara de Diputaciones. Al respecto, la persona promovente aduce que durante el procedimiento fue eliminada su participación. 5. Publicación de listas. El veintidós de febrero siguiente se publicaron los resultados del proceso de insacula"
SUP-JDC-606/2024,rp,2,"ue, de ser el caso, aport ara en esa instancia el documento idóneo para acreditar su interés jurídico; y, requirie ra a la Comisión Nacional de Elecciones para corroborar su inscripción en el procedimiento de selección de candidaturas a diputaciones federales por el principio de representación proporcional, lo cual deb ía realizar en un plazo no mayor a veinticuatro horas a partir de que se le notifi cara la ejecutoria, fijando un plazo breve para su cumplimiento. Asimismo, una vez d esahogados el requerimiento y la prevención, o transcurrido el plazo para ello, la CNHJ deber ía e"
SUP-JDC-606/2024,rp,3,"es competente para conocer y resolver el medio de impugnación identificado al rubro, ya que se trata de un juicio de la ciudadanía promovido para controvertir un acuerdo partidista dictad o en relación con la selección de candidaturas a diputaciones federales por el principio de representación proporcional [8] . SEGUNDA. Acumulación. Por conexidad de la causa, economía procesal y para evitar el dictado de sentencias contradictorias, se acumula el juicio de la ciudadanía SUP-JDC- 607 /2024 al diverso SUP-JDC- 606 /2024 , al ser éste el primero que se recibió en esta Sala Superior,"
SUP-JDC-606/2024,rp,4,"ser el caso, aporte en esa instancia el documento idóneo para acreditar su interés jurídico; y, formule requerimiento a la Comisión Nacional de Elecciones para corroborar su inscripción en el procedimiento de selección de candidaturas a diputaciones federales por el principio de representación proporcional, lo cual deberá realizar en un plazo no mayor a veinticuatro horas a partir de que se le notifique la presente ejecutoria, fijando un plazo breve para su cumplimiento. III. Desahogados el requerimiento y la prevención, o transcurrido el plazo para ello, la CNHJ deberá emitir la"
SUP-JDC-606/2024,rp,5,"do controvertido en cumplimiento a lo mandatado por este órgano jurisdic c ional , en que le requirió a la parte promovente para que, dentr o del plazo máximo de cuarenta y ocho horas, exhiba el acuse de su registro a la candidatura para la diputación federal por el principio de representación proporcional a la que aspira . Asimismo, requirió a la Comisión Nacional de Elecciones de Morena para que informe lo correspondiente respecto a la existencia o no del registro de la parte promovente para el referido cargo de elección popular. Así , si bien la parte actora se inconforma con l"
SUP-JDC-798/2024,rp,1,"Nacional de Honestidad y Justicia de Morena, [1] la cual declaró ineficaces los agravios formulados en el recurso de queja promovido por Luis Morales Flores, en contra de los resultados del proceso de insaculación de las candidaturas a diputaciones federales por el principio de representación proporcional. ANTECEDENTES 1. Proceso electoral federal. El siete de septiembre de dos mil veintitrés, inició el proceso electoral federal 2023-2024, por el que se renovará a las personas integrantes de ambas Cámaras del Congreso de la Unión, así como la titularidad de la Presidencia de la R"
SUP-JDC-798/2024,rp,2,"ión de Morena para candidaturas a diputaciones federales en el proceso electoral federal 2023-2024. 3. Registro y proceso. La parte actora se registró ante la Comisión Nacional de Elecciones de Morena como aspirante a ocupar una candidatura a diputado federal por el principio de representación proporcional . Además, del proceso de insaculación resultó en la posición B de la lista de prelación de militantes, correspondiente a la cuarta circunscripción, posición que, asegura, no fue respetada en la lista final de preseleccionados que publicó el partido político. 4. Lista final de pr"
SUP-JDC-798/2024,rp,3,", no fue respetada en la lista final de preseleccionados que publicó el partido político. 4. Lista final de preseleccionados. El veintidós de febrero, [2] se publicó en la página oficial de Morena el listado de candidaturas definitivas al Congreso de la Unión por el principio de Representación Proporcional para el Proceso Electoral Federal 2023-2024 . [3] La parte actora aparece como suplente, en la posición número doce de la lista de la cuarta circunscripción. 5. Juicio de la ciudadanía SUP-JDC-257/2024. El veinticinco de febrero, la parte actora en su calidad de militante de Mor"
SUP-JDC-798/2024,rp,4,". El cuatro de abril, la Comisión de Justicia declaró improcedente, por no contar con interés jurídico, el recurso de queja promovido por Luis Morales Flores, en contra de los resultados del proceso de insaculación de las candidaturas a diputaciones federales por el principio de representación proporcional. [5] 7. Juicio de la ciudadanía SUP-JDC-548/2024. El diez de abril, la parte actora controvirtió la referida resolución partidista, mediante la presentación ante esta Sala Superior de un juicio para la protección de los derechos político-electorales de la ciudadanía. Al respecto"
SUP-JDC-798/2024,rp,5,"a impugnada) . El quince de mayo, la Comisión de Justicia declaró ineficaces los agravios formulados en el recurso de queja promovido por Luis Morales Flores, en contra de los resultados del proceso de insaculación de las candidaturas a diputaciones federales por el principio de representación proporcional . Lo anterior, porque la lista que la parte actora controvirtió se trata de un acto no conclusivo, ya que cuestionó la lista de preseleccionados para los cargos de diputaciones federales por el principio de representación proporcional y no la lista de candidaturas definitivas ,"
SUP-JDC-858/2024,rp,1,"lver el medio de impugnación por el que se controvierte la resolución CNHJ-GTO-257/2024 , en atención a que la materia de la controversia involucra aspectos relacionados con el proceso de selección interna de candidaturas a diputaciones federales y senadurías por el principio de representación proporcional. VI I I . R e cepción, re gistro y turno . E n la fecha antes indicada, se recibió mediante notificación electrónica el acuerdo de competencia antes señalado, En la misma fecha, l a M agistrada P residenta de la Sala Superior ordenó que la demanda se registrara con la clave de e"
