expediente,url_oficial,archivo_local,estado_descarga,descarga_local_ok,texto_chars,pertinencia_preliminar,razon_revision,diputaciones_federales,fiscalizacion,campana_2023_2024,precampana,cumplimiento,fragmentos_clave
SUP-RAP-0104-2025,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0104-2025-,documents/federal/tepjf_html/SUP-RAP-0104-2025.html,pendiente_descarga_portal,False,0,por_confirmar,cumplimiento SUP-RAP-413/2024; fiscalización campaña diputaciones federales 2023-2024,0,0,0,0,0,
SUP-RAP-0018-2025,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0018-2025-,documents/federal/tepjf_html/SUP-RAP-0018-2025.html,descargado_html,True,53087,alta,cumplimiento SUP-RAP-88/2024; precampaña senadurías y diputaciones federales,1,1,1,1,1,"rmes de ingresos y gastos de precampaña de los partidos políticos a los cargos de presidencia de los Estados Unidos Mexicanos, senadurías y diputaciones federales, correspondientes al proceso electoral federal ordinario 2023-2024. Ley de Medios: Ley General del Sistema de Medios de Impugnación en Materia Electoral. Ley Orgánica: Ley Orgánica del Poder Judicial de la Federación. R || nstitución Política de los Estados Unidos Mexicanos. Dictamen consolidado: INE/CG212/2024. Dictamen consolidado que presenta la Comisión de Fiscalización la Consejo General del Instituto Nacional Electoral respecto de la revisión de los informes de ingresos y gastos de precampaña de los partidos políticos a los cargos de presidencia de los Estados Unidos Mexicanos, senad || misión de Fiscalización la Consejo General del Instituto Nacional Electoral respecto de la revisión de los informes de ingresos y gastos de precampaña de los partidos políticos a los cargos de presidencia de los Estados Unidos Mexicanos, senadurías y diputaciones federales, correspondientes al proceso electoral federal ordinario 2023-2024. Ley de Medios: Ley General d"
SUP-RAP-0108-2025,https://www.te.gob.mx/sentenciasHTML/convertir/expediente/SUP-RAP-0108-2025-,documents/federal/tepjf_html/SUP-RAP-0108-2025.html,descargado_html,True,24777,alta,metodología distribución de recursos a candidatas; posible incidencia transversal,1,1,0,0,1,"distribución de recursos en los siguientes términos: [6] 1. Reiteró el procedimiento utilizado para realizar el cálculo para candidaturas a diputaciones federales, senadurías, diputaciones locales, presidencias municipales y alcandías, del mismo partido político o coalición, respectivamente. [7] 2. En dicha fórmula r etomó conceptos utilizados en procesos previos, tales como el P || imiento a lo resuelto en el SUP-RAP- 94/2025. I. ASPECTOS GENERALES (1) El asunt o tiene su origen con el acuerdo que emitió la Comisión de Fiscalización del INE, por el cual modificó la metodología que se utilizaría para verifica r que los partidos políticos y las coaliciones de stinaran el 50% de su financiamiento público de campaña a sus candidatas. (2) En d ich o acu || en la materia de impugnación, el acuerdo INE/CG349/2025 del Consejo General del INE , por el que modificó la metodología para verificar el cumplimiento de los partidos políticos y coaliciones de la distribución del 50 % de su financiamiento a las mujeres candidatas , en cumplimiento a lo resuelto en el SUP-RAP- 94/2025. I. ASPECTOS GENERALES (1) El asunt o tiene su ori"
